Id,preco
0,1683356.8930085564
1,255829.05684378633
2,561955.6502747028
3,247325.58108960246
4,368968.89085709665
5,255299.68102715176
6,663634.9716398803
7,360562.1451221544
8,337848.17294978315
9,848306.7645874805
10,630193.6449905224
11,528347.8592166884
12,1045718.1261574873
13,354816.8170716525
14,852459.7707289554
15,597902.7341407319
16,404283.0395456441
17,353414.72195890005
18,332735.47712522314
19,825361.9212525957
20,772240.7105194015
21,304397.5372148265
22,338240.68193782325
23,326503.9512484555
24,288495.4545074208
25,383106.7140275836
26,510343.4636079863
27,574346.1768583925
28,810539.9129512263
29,890028.5784645993
30,346666.62658433855
31,1595238.012982925
32,1312336.6924440817
33,1692363.9441448457
34,1122375.3244117722
35,374611.05571835197
36,481070.1055054214
37,2914262.5838958295
38,423093.0007642015
39,395651.0433017716
40,2652551.1577316574
41,753336.2972487449
42,372326.06088122795
43,1377518.1402645763
44,988852.1318268433
45,243743.411993251
46,1382404.9823093787
47,571553.2304105507
48,246307.5205574774
49,446385.63445712783
50,528104.1844784087
51,354942.6855054777
52,612804.6691158027
53,808420.1910990858
54,891752.7190315508
55,365931.13382456306
56,617043.9772150728
57,384941.6103758738
58,825063.3690772078
59,1485884.0202268932
60,2765062.7153825522
61,585749.1131806715
62,1292304.0882167988
63,3889506.3392364187
64,416761.6729053175
65,449607.7130281439
66,519145.9669697471
67,1335702.1835310871
68,829498.1010559544
69,381544.3729203154
70,2124749.0326558687
71,260046.76142843257
72,563960.9905713315
73,394487.0329354915
74,252611.96170617247
75,2488563.107549704
76,302020.4227299587
77,372220.97163971834
78,219750.25447843253
79,356756.5467421991
80,557373.9456654986
81,417461.91584191314
82,308788.3159727503
83,1379658.388792489
84,3262597.1589060607
85,361319.1253631691
86,412668.57729302614
87,573691.7709657254
88,510343.4636079863
89,375385.5783854079
90,633220.3316790741
91,770737.9506256231
92,211228.4342511045
93,289091.35584030324
94,198960.64103098
95,809125.2664106053
96,811240.8783780944
97,1783486.5474650972
98,372624.6259021867
99,627102.0714136234
100,482549.2358508114
101,377088.8119460063
102,1315508.2789001763
103,889830.5122823669
104,441122.62047686114
105,806031.7120860419
106,830053.5163105004
107,1127044.8582067268
108,323175.9390882087
109,599400.445829495
110,437953.88546086877
111,831291.9503599274
112,288021.7398170799
113,367791.05426235223
114,886657.4855287832
115,390735.81486498605
116,562695.2695193158
117,3807566.20279713
118,843435.821121202
119,330966.6368847304
120,2541253.326669496
121,292675.8707456561
122,558975.4254719601
123,285445.69378408004
124,297105.6435875213
125,698641.8509266765
126,330836.6073393548
127,1364260.9904862398
128,292196.5033932608
129,1337058.370847966
130,1140985.1420849059
131,2790497.9879521467
132,617772.9157274406
133,1181456.2379250997
134,1300447.0274726523
135,547934.3908314114
136,499331.6281717177
137,1468704.9629803607
138,792759.6698186647
139,410147.7395111013
140,2786548.84050707
141,448969.04983152373
142,431476.69134219515
143,1298876.127604002
144,347409.4713970873
145,462731.17762180243
146,248565.47244617925
147,1800268.1538478737
148,534239.3562122872
149,968040.5621553708
150,474619.09091119666
151,513373.88648205186
152,943879.0769868745
153,778145.987883139
154,505264.3736615883
155,537510.3336633416
156,500263.50908847776
157,404804.37602666946
158,568101.2766760525
159,2208370.388804544
160,1449269.5547458143
161,490317.24690115004
162,1014021.690006771
163,491935.42200325377
164,334549.78929181147
165,347603.4579488773
166,608022.3192536869
167,585918.0782803935
168,373418.23398438236
169,1221969.3873032962
170,558771.2451902052
171,436165.9901201039
172,623323.321775456
173,701008.7250282692
174,554278.7033893929
175,1785973.3314852053
176,653718.2725450026
177,365455.7241750216
178,1118809.365695777
179,302307.9444619716
180,864433.3431856157
181,394467.3912374487
182,2810229.8157356367
183,582551.9214220234
184,741112.1468118911
185,438571.10035146563
186,600693.0973113817
187,484796.64077372797
188,1367571.612452268
189,361003.1273223731
190,1494873.4751583727
191,1420955.8975975951
192,253786.0628850784
193,331439.7475184089
194,286399.77510136605
195,638386.0949361075
196,257570.40485524546
197,1136127.7867503
198,328365.5852085763
199,567304.6797515381
200,1249659.4280567484
201,300807.5469073064
202,641084.2790340332
203,1472393.8710725198
204,688426.5838572825
205,278894.9195776904
206,171587.28860815798
207,391666.8969682578
208,1077012.7126360543
209,1453328.1226451402
210,744174.6074680802
211,3253490.342983731
212,480264.427649177
213,604899.2422339409
214,1306041.283226256
215,356916.5510831206
216,301792.8715581289
217,625642.982921499
218,544411.7094967633
219,341851.66142374225
220,575586.9062199531
221,942686.9816094409
222,2282354.072487161
223,306450.2659987376
224,340942.0723960965
225,602101.5983174306
226,363951.2295905667
227,591444.2062213031
228,2796565.822914661
229,521560.83198697417
230,389218.0749570346
231,493887.43846875126
232,353086.1580557749
233,662574.7657237498
234,545802.8734448324
235,270160.36354896496
236,996215.9408475359
237,1406332.378040529
238,1148292.95025403
239,537404.833640988
240,866999.6726854364
241,254162.5374059237
242,568446.4341872539
243,422574.68030882766
244,826771.1530021861
245,373023.6201136666
246,483899.4034786814
247,636494.498651335
248,571604.9019187375
249,888548.8214659123
250,1772173.2431375543
251,337623.03929836303
252,574415.2629665742
253,576876.0644102511
254,631498.2229050117
255,728943.9628013179
256,316342.7713325474
257,800445.7778965561
